ts,o,h,l,c,v
1787121180000,64269.7,64273.3,64249.8,64273.3,8.266733
1787121240000,64273.3,64274.6,64261.9,64271.7,3.002674
1787121300000,64271.7,64271.7,64269.8,64269.8,0.507211
1787121360000,64269.8,64282.4,64269.8,64282.4,2.253825
1787121420000,64282.4,64287.7,64280.4,64280.5,1.641273
1787121480000,64280.5,64280.5,64280.4,64280.4,0.024277
1787121540000,64280.4,64290.0,64280.4,64290.0,2.164665
1787121600000,64290.0,64290.0,64281.6,64284.4,1.986806
1787121660000,64284.4,64284.4,64266.2,64266.3,1.488507
1787121720000,64266.3,64266.3,64261.3,64261.3,0.738661
1787121780000,64261.3,64272.2,64261.3,64272.2,2.104481
1787121840000,64272.2,64281.4,64262.0,64267.8,8.632272
1787121900000,64267.8,64281.5,64267.8,64281.5,1.248771
1787121960000,64281.5,64289.7,64271.7,64271.7,5.003539
1787122020000,64271.7,64283.1,64255.6,64283.1,7.341288
1787122080000,64283.1,64327.0,64283.1,64326.9,5.095281
1787122140000,64326.9,64343.0,64315.2,64320.7,9.920678
1787122200000,64320.7,64324.4,64292.7,64292.7,5.108327
1787122260000,64292.7,64292.7,64282.9,64285.1,1.847414
1787122320000,64285.1,64295.0,64285.0,64294.9,1.559198
1787122380000,64294.9,64314.7,64294.9,64314.7,1.625902
1787122440000,64314.7,64326.5,64314.6,64326.4,1.666325
1787122500000,64326.4,64326.4,64315.3,64326.4,3.789564
